Tiempo,Agujero,calidad,Tiempo proceso
3068237305
2024-07-04 16:07:44.690661,52,3,0.7894763946533203
2024-07-04 16:08:03.842262,53,3,0.9299056529998779
2024-07-04 16:08:18.251863,54,1,0.8222641944885254
2024-07-04 16:08:23.436706,55,3,0.8196301460266113
2024-07-04 16:08:37.797191,56,3,0.8547055721282959
2024-07-04 16:08:52.090303,57,3,0.8853621482849121
2024-07-04 16:09:06.636887,58,3,0.8595840930938721
2024-07-04 16:09:20.896616,59,1,0.8525474071502686
2024-07-04 16:09:26.116335,60,1,0.8195574283599854
2024-07-04 16:09:31.128928,61,3,0.842961311340332
2024-07-04 16:10:13.705438,62,3,0.8701937198638916
2024-07-04 16:10:28.026290,63,0,0.8468539714813232
2024-07-04 16:10:34.441265,64,3,0.8538825511932373
2024-07-04 16:10:48.794729,65,3,0.8960754871368408
2024-07-04 16:11:03.308208,66,1,0.8401470184326172
2024-07-04 16:11:08.545021,67,1,0.7935638427734375
2024-07-04 16:11:13.592675,68,3,0.8141398429870605
2024-07-04 16:11:27.924661,69,3,0.8605983257293701
2024-07-04 16:11:42.203376,70,2,0.8335959911346436
2024-07-04 16:11:47.418608,71,3,0.8581287860870361
2024-07-04 16:12:06.790020,72,1,0.8134455680847168
2024-07-04 16:13:45.404770,1,1,0.8684866428375244
2024-07-04 16:13:50.613246,2,1,0.8602120876312256
2024-07-04 16:13:55.700903,3,3,0.8545811176300049
2024-07-04 16:14:09.896322,4,3,0.7828309535980225
2024-07-04 16:14:24.230044,5,3,0.8303089141845703
2024-07-04 16:14:38.471227,6,1,0.9023959636688232
2024-07-04 16:14:43.686778,7,3,0.8737573623657227
2024-07-04 16:14:58.012090,8,3,0.8112940788269043
2024-07-04 16:15:12.379426,9,3,0.7987329959869385
2024-07-04 16:15:31.588624,10,3,0.8914332389831543
2024-07-04 16:15:45.926331,11,3,0.8434276580810547
2024-07-04 16:16:00.316073,12,1,0.8523979187011719
2024-07-04 16:16:05.533033,13,1,0.8400223255157471
2024-07-04 16:16:10.720646,14,3,0.8615381717681885
2024-07-04 16:16:25.112691,15,1,0.8695645332336426
2024-07-04 16:16:30.269409,16,3,0.8808667659759521
2024-07-04 16:16:44.810798,17,3,0.8336906433105469
2024-07-04 16:16:59.185639,18,1,0.8635561466217041
2024-07-04 16:17:04.408906,19,1,0.9232380390167236
2024-07-04 16:17:09.482049,20,3,0.7950835227966309
2024-07-04 16:17:58.118679,21,3,0.9488575458526611
2024-07-04 16:18:12.619665,22,3,0.8266866207122803
2024-07-04 16:18:26.918315,23,2,0.8342585563659668
2024-07-04 16:18:32.109368,24,1,0.8428046703338623
2024-07-04 16:18:37.290732,25,1,0.8752577304840088
2024-07-04 16:18:42.495948,26,3,0.891840934753418
2024-07-04 16:18:57.010716,27,1,0.8547992706298828
2024-07-04 16:19:02.193133,28,1,0.8783261775970459
2024-07-04 16:19:07.307664,29,1,0.8289430141448975
