,num_bandeja,idx,longitud_hoja,calidad_plantin,prediccion_calidad,h_filename,v_filename,pre_eval,evaluacion_prediccion
98,2,A27,25.17,2.0,1.0,h-2024-07-04_16-18-57.847404_ll_A27_C1.jpg,v-2024-07-04_16-18-57.847404_ll_A27_C1.jpg,1.0,1.0
99,2,A28,37.95,2.0,1.0,h-2024-07-04_16-19-03.053674_ll_A28_C1.jpg,v-2024-07-04_16-19-03.053674_ll_A28_C1.jpg,1.0,1.0
100,2,A29,51.32,3.0,1.0,h-2024-07-04_16-19-08.118943_ll_A29_C1.jpg,v-2024-07-04_16-19-08.118943_ll_A29_C1.jpg,2.0,1.0
101,2,A30,46.84,2.0,1.0,h-2024-07-04_16-19-13.233203_ll_A30_C1.jpg,v-2024-07-04_16-19-13.233203_ll_A30_C1.jpg,1.0,1.0
102,2,A31,44.96,2.0,3.0,h-2024-07-04_16-19-18.344231_ll_A31_C3.jpg,v-2024-07-04_16-19-18.344231_ll_A31_C3.jpg,-1.0,0.0
103,2,A32,59.92,3.0,3.0,h-2024-07-04_16-19-32.792159_ll_A32_C3.jpg,v-2024-07-04_16-19-32.792159_ll_A32_C3.jpg,0.0,1.0
104,2,A33,58.95,3.0,3.0,h-2024-07-04_16-19-47.046925_ll_A33_C3.jpg,v-2024-07-04_16-19-47.046925_ll_A33_C3.jpg,0.0,1.0
105,2,A34,49.86,2.0,3.0,h-2024-07-04_16-20-06.064695_ll_A34_C3.jpg,v-2024-07-04_16-20-06.064695_ll_A34_C3.jpg,-1.0,0.0
106,2,A35,48.06,2.0,3.0,h-2024-07-04_16-20-20.555921_ll_A35_C3.jpg,v-2024-07-04_16-20-20.555921_ll_A35_C3.jpg,-1.0,0.0
107,2,A36,32.12,2.0,3.0,h-2024-07-04_16-20-34.899258_ll_A36_C3.jpg,v-2024-07-04_16-20-34.899258_ll_A36_C3.jpg,-1.0,0.0
108,2,A37,38.82,2.0,3.0,h-2024-07-04_16-20-49.332212_ll_A37_C3.jpg,v-2024-07-04_16-20-49.332212_ll_A37_C3.jpg,-1.0,0.0
109,2,A38,49.74,2.0,3.0,h-2024-07-04_16-21-03.809118_ll_A38_C3.jpg,v-2024-07-04_16-21-03.809118_ll_A38_C3.jpg,-1.0,0.0
110,2,A39,44.29,2.0,3.0,h-2024-07-04_16-21-18.240309_ll_A39_C3.jpg,v-2024-07-04_16-21-18.240309_ll_A39_C3.jpg,-1.0,0.0
111,2,A40,47.24,2.0,3.0,h-2024-07-04_16-21-37.434694_ll_A40_C3.jpg,v-2024-07-04_16-21-37.434694_ll_A40_C3.jpg,-1.0,0.0
112,2,A41,41.43,2.0,3.0,h-2024-07-04_16-21-51.989404_ll_A41_C3.jpg,v-2024-07-04_16-21-51.989404_ll_A41_C3.jpg,-1.0,0.0
113,2,A42,48.15,2.0,3.0,h-2024-07-04_16-22-06.185413_ll_A42_C3.jpg,v-2024-07-04_16-22-06.185413_ll_A42_C3.jpg,-1.0,0.0
114,2,A43,45.51,2.0,1.0,h-2024-07-04_16-22-20.530618_ll_A43_C1.jpg,v-2024-07-04_16-22-20.530618_ll_A43_C1.jpg,1.0,1.0
115,2,A44,51.1,3.0,3.0,h-2024-07-04_16-22-25.699648_ll_A44_C3.jpg,v-2024-07-04_16-22-25.699648_ll_A44_C3.jpg,0.0,1.0
116,2,A45,0.0,2.0,1.0,h-2024-07-04_16-22-40.080578_ll_A45_C1.jpg,v-2024-07-04_16-22-40.080578_ll_A45_C1.jpg,1.0,1.0
117,2,A46,21.13,2.0,3.0,h-2024-07-04_16-22-45.320162_ll_A46_C3.jpg,v-2024-07-04_16-22-45.320162_ll_A46_C3.jpg,-1.0,0.0
118,2,A47,58.81,3.0,3.0,h-2024-07-04_16-22-59.588487_ll_A47_C3.jpg,v-2024-07-04_16-22-59.588487_ll_A47_C3.jpg,0.0,1.0
119,2,A48,0.0,2.0,1.0,h-2024-07-04_16-24-26.754836_ll_A48_C1.jpg,v-2024-07-04_16-24-26.754836_ll_A48_C1.jpg,1.0,1.0
120,2,A49,37.73,2.0,1.0,h-2024-07-04_16-24-31.848836_ll_A49_C1.jpg,v-2024-07-04_16-24-31.848836_ll_A49_C1.jpg,1.0,1.0
121,2,A50,40.89,2.0,1.0,h-2024-07-04_16-24-37.060629_ll_A50_C1.jpg,v-2024-07-04_16-24-37.060629_ll_A50_C1.jpg,1.0,1.0
122,2,A51,32.19,2.0,1.0,h-2024-07-04_16-24-42.155231_ll_A51_C1.jpg,v-2024-07-04_16-24-42.155231_ll_A51_C1.jpg,1.0,1.0
123,2,A52,33.51,2.0,1.0,h-2024-07-04_16-24-47.352275_ll_A52_C1.jpg,v-2024-07-04_16-24-47.352275_ll_A52_C1.jpg,1.0,1.0
124,2,A53,26.47,2.0,3.0,h-2024-07-04_16-24-52.467491_ll_A53_C3.jpg,v-2024-07-04_16-24-52.467491_ll_A53_C3.jpg,-1.0,0.0
125,2,A54,36.21,2.0,3.0,h-2024-07-04_16-25-06.729265_ll_A54_C3.jpg,v-2024-07-04_16-25-06.729265_ll_A54_C3.jpg,-1.0,0.0
126,2,A55,45.15,2.0,3.0,h-2024-07-04_16-25-21.223034_ll_A55_C3.jpg,v-2024-07-04_16-25-21.223034_ll_A55_C3.jpg,-1.0,0.0
